config,lr,ep,wd,n_seeds,seeds,b_edu_f1_mean,b_edu_f1_std,b_edu_precision_mean,b_edu_precision_std,b_edu_recall_mean,b_edu_recall_std,exact_match_mean,exact_match_std,window_diff_mean,window_diff_std
xlm-roberta-large_lr4e-5_ep20_wd0.001,4e-5,20,0.001,5,"100,121,42,75,84",0.9040959165898987,0.0020470770220781926,0.8975629282954198,0.010297003240806141,0.9108871764473424,0.009099845042220441,0.7417049311239768,0.0068570096083518895,0.07676787395118492,0.0016865584310847956
xlm-roberta-large_lr5e-5_ep20_wd0.005,5e-5,20,0.005,5,"100,121,42,75,84",0.9039953610187896,0.0027937580240727502,0.8992650921916254,0.008909391206238198,0.9089310412961865,0.0104755934425173,0.7426232780994211,0.006401588709600143,0.07729023528058684,0.0024088448577244377
xlm-roberta-large_lr4e-5_ep20_wd0.005,4e-5,20,0.005,5,"100,121,42,75,84",0.9039536202695299,0.0031006842574812627,0.8972015874312012,0.00431588477440202,0.9108674175064216,0.008188168056035205,0.7421840686763825,0.008315218678729848,0.0770027369095339,0.0032056109888427566
xlm-roberta-large_lr5e-5_ep20_wd0.001,5e-5,20,0.001,5,"100,121,42,75,84",0.9023763538968825,0.003312252707876146,0.8939311593718734,0.007496498978720795,0.9110452479747085,0.00590813810250252,0.7371131962467559,0.009942424915111582,0.07826295668825413,0.002968001494629125
