config,b_edu_f1,b_edu_precision,b_edu_recall,exact_match,window_diff
xlm-roberta-large_lr4e-5_ep20_wd0.001,0.9041 ± 0.0020,0.8976 ± 0.0103,0.9109 ± 0.0091,0.7417 ± 0.0069,0.0768 ± 0.0017
xlm-roberta-large_lr5e-5_ep20_wd0.005,0.9040 ± 0.0028,0.8993 ± 0.0089,0.9089 ± 0.0105,0.7426 ± 0.0064,0.0773 ± 0.0024
xlm-roberta-large_lr4e-5_ep20_wd0.005,0.9040 ± 0.0031,0.8972 ± 0.0043,0.9109 ± 0.0082,0.7422 ± 0.0083,0.0770 ± 0.0032
xlm-roberta-large_lr5e-5_ep20_wd0.001,0.9024 ± 0.0033,0.8939 ± 0.0075,0.9110 ± 0.0059,0.7371 ± 0.0099,0.0783 ± 0.0030
